"County"	"id"	sun
"Marion County, GA"	"13197"	17219.90
"Meriwether County, GA"	"13199"	16962.48
"Miller County, GA"	"13201"	17479.04
"Mitchell County, GA"	"13205"	17502.11
"Monroe County, GA"	"13207"	17100.53
"Montgomery County, GA"	"13209"	17538.14
"Morgan County, GA"	"13211"	17105.94
"Murray County, GA"	"13213"	16081.85
"Muscogee County, GA"	"13215"	17114.18
"Newton County, GA"	"13217"	17029.64
"Oconee County, GA"	"13219"	16984.47
"Oglethorpe County, GA"	"13221"	17054.27
"Paulding County, GA"	"13223"	16483.34
"Peach County, GA"	"13225"	17336.26
"Pickens County, GA"	"13227"	16443.86
"Pierce County, GA"	"13229"	17729.38
"Pike County, GA"	"13231"	17004.81
"Polk County, GA"	"13233"	16421.88
"Pulaski County, GA"	"13235"	17477.40
"Putnam County, GA"	"13237"	17211.85
"Quitman County, GA"	"13239"	17278.59
"Rabun County, GA"	"13241"	16714.61
"Randolph County, GA"	"13243"	17353.24
"Richmond County, GA"	"13245"	17434.30
"Rockdale County, GA"	"13247"	16942.02
"Schley County, GA"	"13249"	17247.46
"Screven County, GA"	"13251"	17586.66
"Seminole County, GA"	"13253"	17599.68
"Spalding County, GA"	"13255"	17016.12
"Stephens County, GA"	"13257"	16958.04
"Stewart County, GA"	"13259"	17260.31
"Sumter County, GA"	"13261"	17321.55
"Talbot County, GA"	"13263"	17046.32
"Taliaferro County, GA"	"13265"	17224.07
"Tattnall County, GA"	"13267"	17587.64
"Taylor County, GA"	"13269"	17149.11
"Telfair County, GA"	"13271"	17586.94
"Terrell County, GA"	"13273"	17331.42
"Thomas County, GA"	"13275"	17686.01
"Tift County, GA"	"13277"	17627.25
"Toombs County, GA"	"13279"	17542.03
"Towns County, GA"	"13281"	16381.64
"Treutlen County, GA"	"13283"	17518.96
"Troup County, GA"	"13285"	16950.11
"Turner County, GA"	"13287"	17556.39
"Twiggs County, GA"	"13289"	17364.81
"Union County, GA"	"13291"	16160.10
"Upson County, GA"	"13293"	17108.73
"Walker County, GA"	"13295"	16221.58
"Walton County, GA"	"13297"	16929.55
"Ware County, GA"	"13299"	17751.51
"Warren County, GA"	"13301"	17284.19
"Washington County, GA"	"13303"	17398.35
"Wayne County, GA"	"13305"	17822.85
"Webster County, GA"	"13307"	17260.11
"Wheeler County, GA"	"13309"	17587.83
"White County, GA"	"13311"	16658.42
"Whitfield County, GA"	"13313"	16178.35
"Wilcox County, GA"	"13315"	17519.07
"Wilkes County, GA"	"13317"	17184.91
"Wilkinson County, GA"	"13319"	17411.17
"Worth County, GA"	"13321"	17540.95
"Ada County, ID"	"16001"	16625.10
"Adams County, ID"	"16003"	16092.94
"Bannock County, ID"	"16005"	16643.53
"Bear Lake County, ID"	"16007"	17125.18
"Benewah County, ID"	"16009"	13986.94
"Bingham County, ID"	"16011"	16258.10
"Blaine County, ID"	"16013"	16854.18
"Boise County, ID"	"16015"	16547.02
"Bonner County, ID"	"16017"	13782.64
"Bonneville County, ID"	"16019"	16365.51
"Boundary County, ID"	"16021"	13821.66
"Butte County, ID"	"16023"	16515.52
"Camas County, ID"	"16025"	17156.46
"Canyon County, ID"	"16027"	16558.04
"Caribou County, ID"	"16029"	16742.80
"Cassia County, ID"	"16031"	16538.17
"Clark County, ID"	"16033"	16074.54
"Clearwater County, ID"	"16035"	14584.89
"Custer County, ID"	"16037"	16279.07
"Elmore County, ID"	"16039"	16938.02
"Franklin County, ID"	"16041"	17222.43
"Fremont County, ID"	"16043"	16136.39
"Gem County, ID"	"16045"	16206.28
"Gooding County, ID"	"16047"	16982.79
"Idaho County, ID"	"16049"	15105.29
"Jefferson County, ID"	"16051"	16113.71
"Jerome County, ID"	"16053"	16646.67
"Kootenai County, ID"	"16055"	13814.01
"Latah County, ID"	"16057"	14433.85
"Lemhi County, ID"	"16059"	15855.02
"Lewis County, ID"	"16061"	14662.14
"Lincoln County, ID"	"16063"	16954.33
"Madison County, ID"	"16065"	16046.27
"Minidoka County, ID"	"16067"	16600.45
"Nez Perce County, ID"	"16069"	14706.38
"Oneida County, ID"	"16071"	16703.60
"Owyhee County, ID"	"16073"	16650.94
"Payette County, ID"	"16075"	16287.78
"Power County, ID"	"16077"	16449.15
"Shoshone County, ID"	"16079"	14287.58
"Teton County, ID"	"16081"	16458.71
"Twin Falls County, ID"	"16083"	16606.40
"Valley County, ID"	"16085"	16069.70
"Washington County, ID"	"16087"	16153.04
"Adams County, IL"	"17001"	15108.11
"Alexander County, IL"	"17003"	15752.16
"Bond County, IL"	"17005"	15340.01
"Boone County, IL"	"17007"	14434.73
"Brown County, IL"	"17009"	15063.01
"Bureau County, IL"	"17011"	14640.40
"Calhoun County, IL"	"17013"	15439.43
"Carroll County, IL"	"17015"	14514.95
"Cass County, IL"	"17017"	15020.99
"Champaign County, IL"	"17019"	14945.13
"Christian County, IL"	"17021"	15112.20
"Clark County, IL"	"17023"	15015.56
"Clay County, IL"	"17025"	15243.45
"Clinton County, IL"	"17027"	15410.39
"Coles County, IL"	"17029"	15027.50
"Cook County, IL"	"17031"	14763.45
"Crawford County, IL"	"17033"	15101.42
"Cumberland County, IL"	"17035"	15074.63
"DeKalb County, IL"	"17037"	14527.05
"De Witt County, IL"	"17039"	14931.58
"Douglas County, IL"	"17041"	15005.21
"DuPage County, IL"	"17043"	14439.07
"Edgar County, IL"	"17045"	14981.50
"Edwards County, IL"	"17047"	15313.41
"Effingham County, IL"	"17049"	15164.49
"Fayette County, IL"	"17051"	15214.38
"Ford County, IL"	"17053"	14796.95
"Franklin County, IL"	"17055"	15528.74
"Fulton County, IL"	"17057"	14888.82
"Gallatin County, IL"	"17059"	15525.59
"Greene County, IL"	"17061"	15313.51
"Grundy County, IL"	"17063"	14659.77
"Hamilton County, IL"	"17065"	15464.12
"Hancock County, IL"	"17067"	14950.02
"Hardin County, IL"	"17069"	15632.91
"Henderson County, IL"	"17071"	14838.40
"Henry County, IL"	"17073"	14673.38
"Iroquois County, IL"	"17075"	14783.19
"Jackson County, IL"	"17077"	15546.36
"Jasper County, IL"	"17079"	15113.86
"Jefferson County, IL"	"17081"	15428.64
"Jersey County, IL"	"17083"	15399.87
"Jo Daviess County, IL"	"17085"	14465.30
"Johnson County, IL"	"17087"	15629.28
"Kane County, IL"	"17089"	14446.31
"Kankakee County, IL"	"17091"	14721.38
"Kendall County, IL"	"17093"	14558.02
"Knox County, IL"	"17095"	14787.54
"Lake County, IL"	"17097"	14919.27
"LaSalle County, IL"	"17099"	14659.25
"Lawrence County, IL"	"17101"	15168.24
"Lee County, IL"	"17103"	14583.60
"Livingston County, IL"	"17105"	14801.53
"Logan County, IL"	"17107"	14912.37
"McDonough County, IL"	"17109"	14932.12
"McHenry County, IL"	"17111"	14462.83
"McLean County, IL"	"17113"	14875.11
"Macon County, IL"	"17115"	14989.01
"Macoupin County, IL"	"17117"	15273.19
"Madison County, IL"	"17119"	15421.27
"Marion County, IL"	"17121"	15322.39
"Marshall County, IL"	"17123"	14740.55
"Mason County, IL"	"17125"	14886.93
"Massac County, IL"	"17127"	15685.88
"Menard County, IL"	"17129"	15015.32
"Mercer County, IL"	"17131"	14721.40
"Monroe County, IL"	"17133"	15561.23
"Montgomery County, IL"	"17135"	15227.34
"Morgan County, IL"	"17137"	15138.62
"Moultrie County, IL"	"17139"	15046.86
"Ogle County, IL"	"17141"	14525.31
"Peoria County, IL"	"17143"	14781.31
"Perry County, IL"	"17145"	15505.05
"Piatt County, IL"	"17147"	14985.39
"Pike County, IL"	"17149"	15204.99
"Pope County, IL"	"17151"	15594.64
"Pulaski County, IL"	"17153"	15709.94
"Putnam County, IL"	"17155"	14653.05
"Randolph County, IL"	"17157"	15520.81
"Richland County, IL"	"17159"	15176.43
"Rock Island County, IL"	"17161"	14617.98
"St. Clair County, IL"	"17163"	15519.03
"Saline County, IL"	"17165"	15555.03
"Sangamon County, IL"	"17167"	15084.15
"Schuyler County, IL"	"17169"	14999.16
"Scott County, IL"	"17171"	15211.24
"Shelby County, IL"	"17173"	15073.96
"Stark County, IL"	"17175"	14790.59
"Stephenson County, IL"	"17177"	14446.01
"Tazewell County, IL"	"17179"	14824.65
"Union County, IL"	"17181"	15585.48
"Vermilion County, IL"	"17183"	14881.00
"Wabash County, IL"	"17185"	15268.65
"Warren County, IL"	"17187"	14841.11
"Washington County, IL"	"17189"	15442.90
"Wayne County, IL"	"17191"	15348.90
"White County, IL"	"17193"	15477.14
"Whiteside County, IL"	"17195"	14572.72
"Will County, IL"	"17197"	14608.13
"Williamson County, IL"	"17199"	15574.41
"Winnebago County, IL"	"17201"	14463.86
"Woodford County, IL"	"17203"	14822.86
